encoder,policy,scene_name,scenario,n,steer_rmse,accel_rmse
vq_track,original,scene-0017,intersection,40,0.08269659608318036,0.06994222821742603
vq_track,original,scene-0092,urban,40,0.037441648599066936,0.034811032563060215
vq_track,original,scene-0096,intersection,39,0.036837031717508996,0.08436725232950114
vq_track,original,scene-0098,urban,39,0.02545750947109289,0.03442105077071049
vq_track,original,scene-0103,urban,40,0.04465518962545734,0.1136096828656369
vq_track,original,scene-0106,intersection,40,0.05320956635503677,0.05997225458203252
vq_track,original,scene-0107,intersection,40,0.04165932723554682,0.07881746780594008
vq_track,original,scene-0110,urban,40,0.0423247694594951,0.023274598391615064
vq_track,original,scene-0269,urban,40,0.16665312231561066,0.04492054569042594
vq_track,original,scene-0271,urban,39,0.10335251345154917,0.10969086380604019
vq_track,original,scene-0273,urban,39,0.0819531247299923,0.0838603368471466
vq_track,original,scene-0276,intersection,40,0.10618730990570727,0.09881685572083938
vq_track,original,scene-0346,intersection,40,0.06800767417961062,0.10026711463557776
vq_track,original,scene-0521,intersection,40,0.03709144770455271,0.05101090799936592
vq_track,original,scene-0556,intersection,40,0.3498575992596993,0.07475648368381717
vq_track,original,scene-0561,intersection,40,0.14677149129112207,0.052777910327492086
vq_track,original,scene-0635,urban,40,0.015484522175224578,0.018207610791962786
vq_track,original,scene-0638,intersection,41,0.23102477985982414,0.0764461477501576
vq_track,original,scene-0770,urban,40,0.033636391923056036,0.03266347299930743
vq_track,original,scene-0771,urban,41,0.03422401452366642,0.039615922233020566
vq_track,original,scene-0777,urban,40,0.061401983213158914,0.03356305561871605
vq_track,original,scene-0796,intersection,40,0.04445130621393533,0.04651023094364818
vq_track,original,scene-0904,intersection,41,0.026024647257178995,0.05587962082921648
vq_track,original,scene-0905,intersection,40,0.04690342230725848,0.036215740809592945
vq_track,original,scene-0906,intersection,41,0.0732843678178073,0.0357436299579921
vq_track,original,scene-0913,urban,40,0.04742486677038944,0.03374669741803497
vq_track,original,scene-0914,intersection,41,0.16788524940095945,0.06340390194305127
vq_track,original,scene-0919,urban,39,0.274623813948239,0.07826915847049107
vq_track,left,scene-0003,urban,40,0.1712621575146534,0.07623002725374639
vq_track,left,scene-0013,urban,40,0.057937850171271434,0.03601123787615802
vq_track,left,scene-0017,intersection,40,0.08913906952105591,0.06376145513614001
vq_track,left,scene-0092,urban,40,0.03531685374016199,0.029604599869996317
vq_track,left,scene-0096,intersection,39,0.05945431762585462,0.08540484037222695
vq_track,left,scene-0098,urban,39,0.03378837792141974,0.03717827252338108
vq_track,left,scene-0103,urban,40,0.05279818429517451,0.11393379681889364
vq_track,left,scene-0106,intersection,40,0.049787275203396486,0.0641424266034369
vq_track,left,scene-0107,intersection,40,0.04571759688557318,0.06635574598167458
vq_track,left,scene-0110,urban,40,0.02777093091097414,0.02541165785898241
vq_track,left,scene-0269,urban,40,0.14968467628004287,0.05065380533938345
vq_track,left,scene-0271,urban,39,0.12172505288029846,0.09692395588023138
vq_track,left,scene-0273,urban,39,0.054674184448832645,0.07770787688438668
vq_track,left,scene-0276,intersection,40,0.11910739079765159,0.1033270363740322
vq_track,left,scene-0346,intersection,40,0.06873528861939802,0.0902850211831765
vq_track,left,scene-0521,intersection,40,0.04622329586163139,0.05304714535856331
vq_track,left,scene-0556,intersection,40,0.33605742197268473,0.07552742621289787
vq_track,left,scene-0561,intersection,40,0.13468747871572118,0.05491772798411055
vq_track,left,scene-0635,urban,40,0.021151455788633335,0.021841335050604413
vq_track,left,scene-0638,intersection,41,0.23314681673812748,0.07044675489055474
vq_track,left,scene-0770,urban,40,0.016438816361477784,0.007210673878182199
vq_track,left,scene-0771,urban,41,0.011156166476473689,0.009635134139230202
vq_track,left,scene-0777,urban,40,0.024009633917294916,0.011489391317577908
vq_track,left,scene-0796,intersection,40,0.048478419755101435,0.04869424728211852
vq_track,left,scene-0904,intersection,41,0.04936392756504392,0.04839930300012697
vq_track,left,scene-0905,intersection,40,0.06446205053831118,0.039474491803546334
vq_track,left,scene-0906,intersection,41,0.07985830494403277,0.03803030794980139
vq_track,left,scene-0913,urban,40,0.031862397642941215,0.038529512188953986
vq_track,left,scene-0914,intersection,41,0.1776732867095274,0.06080998199560423
vq_track,left,scene-0919,urban,39,0.2700695922244586,0.07100840078589256
vq_track,right,scene-0003,urban,40,0.07477022041742477,0.06066779493486103
vq_track,right,scene-0013,urban,40,0.06446730460769239,0.042187850275149034
vq_track,right,scene-0017,intersection,40,0.08573853697992313,0.0789904764516647
vq_track,right,scene-0092,urban,40,0.07139373333076045,0.02902240298852012
vq_track,right,scene-0096,intersection,39,0.0419876234331098,0.08263307476611886
vq_track,right,scene-0098,urban,39,0.029820457776642953,0.03252741807517791
vq_track,right,scene-0103,urban,40,0.052297830752461846,0.11403078093913067
vq_track,right,scene-0106,intersection,40,0.06179901097357884,0.05720723204196945
vq_track,right,scene-0107,intersection,40,0.05034356920003363,0.0712543791002223
vq_track,right,scene-0110,urban,40,0.035136256302151114,0.026386747100147843
vq_track,right,scene-0269,urban,40,0.16140895431116165,0.04985342508481753
vq_track,right,scene-0271,urban,39,0.119601055588842,0.10731365092713653
vq_track,right,scene-0273,urban,39,0.06310306719970941,0.0801794574807492
vq_track,right,scene-0276,intersection,40,0.10098933198293004,0.09544045406966381
vq_track,right,scene-0346,intersection,40,0.07166885434445083,0.09732494103557136
vq_track,right,scene-0521,intersection,40,0.027313249155372234,0.05185639613023008
vq_track,right,scene-0556,intersection,40,0.3199376836345087,0.07907243269953615
vq_track,right,scene-0561,intersection,40,0.15135969327379825,0.04108087703716706
vq_track,right,scene-0635,urban,40,0.020333702063578665,0.018668870231220946
vq_track,right,scene-0638,intersection,41,0.23022414265508817,0.0667807991720276
vq_track,right,scene-0770,urban,40,0.0285725107814874,0.0473698846856516
vq_track,right,scene-0771,urban,41,0.0413187508737705,0.06499467863987979
vq_track,right,scene-0777,urban,40,0.05720984968903235,0.04383851065489341
vq_track,right,scene-0796,intersection,40,0.05611483277009938,0.04791602047042687
vq_track,right,scene-0904,intersection,41,0.0313095250804117,0.0569500962735296
vq_track,right,scene-0905,intersection,40,0.06652811417441898,0.050821866898476106
vq_track,right,scene-0906,intersection,41,0.07314618581932866,0.04799863074032127
vq_track,right,scene-0913,urban,40,0.053546189097704276,0.03090002309968087
vq_track,right,scene-0914,intersection,41,0.16826252756974014,0.056448314167446
vq_track,right,scene-0919,urban,39,0.2682530832597888,0.06099280909769423
vq_track,lead,scene-0003,urban,40,0.12292497929672075,0.06778979656585275
vq_track,lead,scene-0013,urban,40,0.06082514814841867,0.03584855383894623
vq_track,lead,scene-0017,intersection,40,0.07454417900656499,0.07142345377901702
vq_track,lead,scene-0092,urban,40,0.06044489165208339,0.048201002304347186
vq_track,lead,scene-0096,intersection,39,0.03443236664748823,0.08542156322904602
vq_track,lead,scene-0098,urban,39,0.027189590639457462,0.03418011615157504
vq_track,lead,scene-0103,urban,40,0.045049065853395784,0.11391893505638906
vq_track,lead,scene-0106,intersection,40,0.04636353228946413,0.05692396189493374
vq_track,lead,scene-0107,intersection,40,0.06279024261357075,0.09043350843516881
vq_track,lead,scene-0110,urban,40,0.06728340527015698,0.04928161790176944
vq_track,lead,scene-0269,urban,40,0.1579590145243037,0.041845741085486624
vq_track,lead,scene-0271,urban,39,0.11718855576845216,0.10286382635443682
vq_track,lead,scene-0273,urban,39,0.07869493098294139,0.07706325004162012
vq_track,lead,scene-0276,intersection,40,0.1133009237476257,0.10104485905554271
vq_track,lead,scene-0346,intersection,40,0.08673875165799283,0.09830066875531501
vq_track,lead,scene-0521,intersection,40,0.0566956988874143,0.05327755278309612
vq_track,lead,scene-0556,intersection,40,0.35132021543252084,0.08980553581766497
vq_track,lead,scene-0561,intersection,40,0.15181588288549527,0.053637265979543894
vq_track,lead,scene-0635,urban,40,0.014845742828661771,0.01857724415395367
vq_track,lead,scene-0638,intersection,41,0.23226112131435356,0.09105759056020694
vq_track,lead,scene-0770,urban,40,0.010761855138191796,0.023928537379570913
vq_track,lead,scene-0771,urban,41,0.015825331583993983,0.025580116976411525
vq_track,lead,scene-0777,urban,40,0.028429296226685774,0.015004692536015031
vq_track,lead,scene-0796,intersection,40,0.04281696942439758,0.04723157368101555
vq_track,lead,scene-0904,intersection,41,0.02655377290517015,0.05752416757075907
vq_track,lead,scene-0905,intersection,40,0.07851700211133054,0.06797727441221542
vq_track,lead,scene-0906,intersection,41,0.07039890325906475,0.03876047243153813
vq_track,lead,scene-0913,urban,40,0.07432951770217894,0.0335021235556211
vq_track,lead,scene-0914,intersection,41,0.16482173678524406,0.06322018858899359
vq_track,lead,scene-0919,urban,39,0.2731090878750253,0.06402728991581125
